ID,parent_id,collection,uuid,date_accessioned,date_available,date issued,identifier_other,identifier_uri,description,language,publisher,relation,rights,subject,title,type,model,media_use,mimetype,sequence_id,display,file
11,,Graphic & Pictorial Collection,93a76357-993a-4241-a30b-229fa437ad15,2018-04-10T00:24:30Z,2018-04-10T00:24:30Z,approximately late 1920s,jhu_coll-0002_12803,http://jhir.library.jhu.edu/handle/1774.2/47523,Portrait of Klinefelter at approximately 24 years old.,en_US,Johns Hopkins University Sheridan Libraries,Access the finding aid for the full Johns Hopkins University graphic and pictorial collection at http://aspace.library.jhu.edu/repositories/3/resources/1099.,"Single copies may be made for research purposes. Researchers are responsible for determining any copyright questions. It is not necessary to seek our permission as the owner of the physical work to publish or otherwise use public domain materials that we have made available for use, unless Johns Hopkins University holds the copyright. If you are the copyright owner of this content and wish to contact us regarding our choice to provide access to this material online, please visit our takedown policy at https://www.library.jhu.edu/policy/digital-collections-statement-use-takedown-policy/.",people (agents),Photograph of Orerton Harcourt Klinefelter,image,Image,Original File,image/jpeg,,Open Seadragon,/var/www/html/drupal/web/modules/contrib/jhu_ingest_csv/data/binaries/jhu_coll-0002_12803.jpg
12,,News-Letters Collection,2953b3d9-a9b5-4016-a8bf-19707b83fa86,2017-09-15T19:55:32Z,2017-09-15T19:55:32Z,11/4/38,RG.14.050,http://jhir.library.jhu.edu/handle/1774.2/44347,"Digital content from the Johns Hopkins University News-letter records, RG.14.050.",en_US,Johns Hopkins University Sheridan Libraries,Access the finding aid for the Johns Hopkins University News-letter records at http://aspace.library.jhu.edu/repositories/3/resources/1131.,"Single copies may be made for research purposes. Researchers are responsible for determining any copyright questions. It is not necessary to seek our permission as the owner of the physical work to publish or otherwise use public domain materials that we have made available for use, unless Johns Hopkins University holds the copyright. If you are the copyright owner of this content and wish to contact us regarding our choice to provide access to this material online, please visit our takedown policy at https://www.library.jhu.edu/policy/digital-collections-statement-use-takedown-policy/.",Newsletter,"Johns Hopkins University News-letter, Volume 43, Number 6 (1938 November 4)",file,Digital Document,Original File,application/pdf,,PDFjs,/var/www/html/drupal/web/modules/contrib/jhu_ingest_csv/data/binaries/1938_43_06.pdf
13,,News-Letters Collection,c2a754ee-4c27-450b-bcd0-c1c8571b0bf0,2017-09-15T19:54:56Z,2017-09-15T19:54:56Z,10/14/38,RG.14.050,http://jhir.library.jhu.edu/handle/1774.2/44345,"Digital content from the Johns Hopkins University News-letter records, RG.14.050.",en_US,Johns Hopkins University Sheridan Libraries,Access the finding aid for the Johns Hopkins University News-letter records at http://aspace.library.jhu.edu/repositories/3/resources/1131.,"Single copies may be made for research purposes. Researchers are responsible for determining any copyright questions. It is not necessary to seek our permission as the owner of the physical work to publish or otherwise use public domain materials that we have made available for use, unless Johns Hopkins University holds the copyright. If you are the copyright owner of this content and wish to contact us regarding our choice to provide access to this material online, please visit our takedown policy at https://www.library.jhu.edu/policy/digital-collections-statement-use-takedown-policy/.",Newsletter,"Johns Hopkins University News-letter, Volume 43, Number 3 (1938 October 14)",file,Digital Document,Original File,application/pdf,,PDFjs,/var/www/html/drupal/web/modules/contrib/jhu_ingest_csv/data/binaries/1938_43_03.pdf
14,,News-Letters Collection,f696ba6a-698f-47f6-86fb-355300108a53,2017-01-09T20:08:59Z,2017-01-09T20:08:59Z,3/17/25,RG.14.050,http://jhir.library.jhu.edu/handle/1774.2/39780,"Digital content from the Johns Hopkins University News-letter records, RG.14.050.",en_US,Johns Hopkins University Sheridan Libraries,Access the finding aid for the Johns Hopkins University News-letter records at http://aspace.library.jhu.edu/repositories/3/resources/1131.,"Single copies may be made for research purposes. Researchers are responsible for determining any copyright questions. It is not necessary to seek our permission as the owner of the physical work to publish or otherwise use public domain materials that we have made available for use, unless Johns Hopkins University holds the copyright. If you are the copyright owner of this content and wish to contact us regarding our choice to provide access to this material online, please visit our takedown policy at https://www.library.jhu.edu/policy/digital-collections-statement-use-takedown-policy/.",Student life,"Johns Hopkins University News-letter, Volume 29, Number 40 (1925 March 17)",file,Digital Document,Original File,application/pdf,,PDFjs,/var/www/html/drupal/web/modules/contrib/jhu_ingest_csv/data/binaries/1925_029_040.pdf
15,,News-Letters Collection,519486ad-bfca-4b69-9c26-00994771caf6,2017-09-15T18:21:47Z,2017-09-15T18:21:47Z,5/8/34,RG.14.050,http://jhir.library.jhu.edu/handle/1774.2/44220,"Digital content from the Johns Hopkins University News-letter records, RG.14.050.",en_US,Johns Hopkins University Sheridan Libraries,Access the finding aid for the Johns Hopkins University News-letter records at http://aspace.library.jhu.edu/repositories/3/resources/1131.,"Single copies may be made for research purposes. Researchers are responsible for determining any copyright questions. It is not necessary to seek our permission as the owner of the physical work to publish or otherwise use public domain materials that we have made available for use, unless Johns Hopkins University holds the copyright. If you are the copyright owner of this content and wish to contact us regarding our choice to provide access to this material online, please visit our takedown policy at https://www.library.jhu.edu/policy/digital-collections-statement-use-takedown-policy/.",Publication,"Johns Hopkins University News-letter, Volume 38, Number 49 (1934 May 8)",file,Digital Document,Original File,application/pdf,,PDFjs,/var/www/html/drupal/web/modules/contrib/jhu_ingest_csv/data/binaries/1934_38_49.pdf
16,,News-Letters Collection,acf7684b-90ab-4927-a63b-8d6df671d9a7,2016-02-29T23:01:55Z,2016-02-29T23:01:55Z,5/12/05,RG.14.050,http://jhir.library.jhu.edu/handle/1774.2/38344,"Digital content from the Johns Hopkins University News-letter records, RG.14.050.",en_US,Johns Hopkins University Sheridan Libraries,Access the finding aid for the Johns Hopkins University News-letter records at http://aspace.library.jhu.edu/repositories/3/resources/1131.,"Single copies may be made for research purposes. Researchers are responsible for determining any copyright questions. It is not necessary to seek our permission as the owner of the physical work to publish or otherwise use public domain materials that we have made available for use, unless Johns Hopkins University holds the copyright. If you are the copyright owner of this content and wish to contact us regarding our choice to provide access to this material online, please visit our takedown policy at https://www.library.jhu.edu/policy/digital-collections-statement-use-takedown-policy/.",Student life,"Johns Hopkins University News-letter, Volume 9, Number 12 (1905 May 12)",file,Digital Document,Original File,application/pdf,,PDFjs,/var/www/html/drupal/web/modules/contrib/jhu_ingest_csv/data/binaries/1905_009_012.pdf
17,,News-Letters Collection,4b1ca326-c1bc-403e-aa7f-053602998eff,2017-09-15T19:35:11Z,2017-09-15T19:35:11Z,10/27/36,RG.14.050,http://jhir.library.jhu.edu/handle/1774.2/44303,"Digital content from the Johns Hopkins University News-letter records, RG.14.050.",en_US,Johns Hopkins University Sheridan Libraries,Access the finding aid for the Johns Hopkins University News-letter records at http://aspace.library.jhu.edu/repositories/3/resources/1131.,"Single copies may be made for research purposes. Researchers are responsible for determining any copyright questions. It is not necessary to seek our permission as the owner of the physical work to publish or otherwise use public domain materials that we have made available for use, unless Johns Hopkins University holds the copyright. If you are the copyright owner of this content and wish to contact us regarding our choice to provide access to this material online, please visit our takedown policy at https://www.library.jhu.edu/policy/digital-collections-statement-use-takedown-policy/.",News-letter,"Johns Hopkins University News-letter, Volume 41, Number 8 (1936 October 27)",file,Digital Document,Original File,application/pdf,,PDFjs,/var/www/html/drupal/web/modules/contrib/jhu_ingest_csv/data/binaries/1936_41_08.pdf
18,,News-Letters Collection,32d08e67-7594-450a-8cf6-db8a3995c4dd,2017-09-15T19:51:23Z,2017-09-15T19:51:23Z,3/18/38,RG.14.050,http://jhir.library.jhu.edu/handle/1774.2/44333,"Digital content from the Johns Hopkins University News-letter records, RG.14.050.",en_US,Johns Hopkins University Sheridan Libraries,Access the finding aid for the Johns Hopkins University News-letter records at http://aspace.library.jhu.edu/repositories/3/resources/1131.,"Single copies may be made for research purposes. Researchers are responsible for determining any copyright questions. It is not necessary to seek our permission as the owner of the physical work to publish or otherwise use public domain materials that we have made available for use, unless Johns Hopkins University holds the copyright. If you are the copyright owner of this content and wish to contact us regarding our choice to provide access to this material online, please visit our takedown policy at https://www.library.jhu.edu/policy/digital-collections-statement-use-takedown-policy/.",Publication,"Johns Hopkins University News-letter, Volume 42, Number 26 (1938 March 18)",file,Digital Document,Original File,application/pdf,,PDFjs,/var/www/html/drupal/web/modules/contrib/jhu_ingest_csv/data/binaries/1938_42_26.pdf
19,,News-Letters Collection,5389f7e8-f147-4a68-a0f5-961194913ed0,2016-09-08T20:31:57Z,2016-09-08T20:31:57Z,5/11/20,RG.14.050,http://jhir.library.jhu.edu/handle/1774.2/38876,"Digital content from the Johns Hopkins University News-letter records, RG.14.050.",en_US,Johns Hopkins University Sheridan Libraries,Access the finding aid for the Johns Hopkins University News-letter records at http://aspace.library.jhu.edu/repositories/3/resources/1131.,"Single copies may be made for research purposes. Researchers are responsible for determining any copyright questions. It is not necessary to seek our permission as the owner of the physical work to publish or otherwise use public domain materials that we have made available for use, unless Johns Hopkins University holds the copyright. If you are the copyright owner of this content and wish to contact us regarding our choice to provide access to this material online, please visit our takedown policy at https://www.library.jhu.edu/policy/digital-collections-statement-use-takedown-policy/.",Student life,"Johns Hopkins University News-letter, Volume 24, Number 27 (1920 May 11)",file,Digital Document,Original File,application/pdf,,PDFjs,/var/www/html/drupal/web/modules/contrib/jhu_ingest_csv/data/binaries/1920_024_027.pdf
20,,News-Letters Collection,d044a8ba-b381-453d-8425-7f33499cdfff,2017-02-16T18:36:41Z,2017-02-16T18:36:41Z,4/11/69,RG.14.050,http://jhir.library.jhu.edu/handle/1774.2/39951,"Digital content from the Johns Hopkins University News-letter records, RG.14.050.",en_US,Johns Hopkins University Sheridan Libraries,Access the finding aid for the Johns Hopkins University News-letter records at http://aspace.library.jhu.edu/repositories/3/resources/1131.,"Single copies may be made for research purposes. Researchers are responsible for determining any copyright questions. It is not necessary to seek our permission as the owner of the physical work to publish or otherwise use public domain materials that we have made available for use, unless Johns Hopkins University holds the copyright. If you are the copyright owner of this content and wish to contact us regarding our choice to provide access to this material online, please visit our takedown policy at https://www.library.jhu.edu/policy/digital-collections-statement-use-takedown-policy/.",Publication,"Johns Hopkins University News-letter, Volume 73, Number 21 (1969 April 11)",file,Digital Document,Original File,application/pdf,,PDFjs,/var/www/html/drupal/web/modules/contrib/jhu_ingest_csv/data/binaries/1969_73_21.pdf
21,,News-Letters Collection,cb37be2e-37f3-45e0-8654-f95375c21d0a,2017-02-16T18:26:35Z,2017-02-16T18:26:35Z,3/3/70,RG.14.050,http://jhir.library.jhu.edu/handle/1774.2/39941,"Digital content from the Johns Hopkins University News-letter records, RG.14.050.",en_US,Johns Hopkins University Sheridan Libraries,Access the finding aid for the Johns Hopkins University News-letter records at http://aspace.library.jhu.edu/repositories/3/resources/1131.,"Single copies may be made for research purposes. Researchers are responsible for determining any copyright questions. It is not necessary to seek our permission as the owner of the physical work to publish or otherwise use public domain materials that we have made available for use, unless Johns Hopkins University holds the copyright. If you are the copyright owner of this content and wish to contact us regarding our choice to provide access to this material online, please visit our takedown policy at https://www.library.jhu.edu/policy/digital-collections-statement-use-takedown-policy/.",Publication,"Johns Hopkins University News-letter, Volume 74, Number 24 (1970 March 3)",file,Digital Document,Original File,application/pdf,,PDFjs,/var/www/html/drupal/web/modules/contrib/jhu_ingest_csv/data/binaries/1970_74_24.pdf
22,,News-Letters Collection,10a49d9b-eb66-410a-9d07-7dc7b35f1872,2017-02-16T18:36:12Z,2017-02-16T18:36:12Z,4/28/72,RG.14.050,http://jhir.library.jhu.edu/handle/1774.2/39948,"Digital content from the Johns Hopkins University News-letter records, RG.14.050.",en_US,Johns Hopkins University Sheridan Libraries,Access the finding aid for the Johns Hopkins University News-letter records at http://aspace.library.jhu.edu/repositories/3/resources/1131.,"Single copies may be made for research purposes. Researchers are responsible for determining any copyright questions. It is not necessary to seek our permission as the owner of the physical work to publish or otherwise use public domain materials that we have made available for use, unless Johns Hopkins University holds the copyright. If you are the copyright owner of this content and wish to contact us regarding our choice to provide access to this material online, please visit our takedown policy at https://www.library.jhu.edu/policy/digital-collections-statement-use-takedown-policy/.",Publication,"Johns Hopkins University News-letter, Volume 76, Number 47 (1972 April 28)",file,Digital Document,Original File,application/pdf,,PDFjs,/var/www/html/drupal/web/modules/contrib/jhu_ingest_csv/data/binaries/1972_76_47.pdf
23,,Oral Histories Collection,03d91d42-1ef1-4c32-a5d9-4bf243829c69,2015-09-03T17:26:08Z,2015-09-03T17:26:08Z,12/23/99,MS.0404,http://jhir.library.jhu.edu/handle/1774.2/37787,"Wilbert Locklin was born in 1921 in Washington, DC. He received his undergraduate degree from Johns Hopkins and, in the late 1940s, went on to work for the university as the Vice President of the Johns Hopkins University Fund. During his tenure, he raised money for the school's library and athletic center, while playing an integral role in the expansion and development of Hopkins' School for Advanced International Studies (SAIS).In addition to his work at Hopkins, Locklin served as an aviator for the Armed Air Forces during WWII and was awarded a Distinguished Flying Cross for his service. He also served as the President of Springfield College for 20 years beginning in 1963. In this interview, Locklin discusses his time at Hopkins as a full scholarship recipient as well as his time working as the Vice President of the Johns Hopkins University Fund. This oral history is a part of the Mame Warren oral histories series.",en_US,Johns Hopkins University Sheridan Libraries,Access the finding aid for the Johns Hopkins University oral history collection at http://aspace.library.jhu.edu/repositories/3/resources/400.,"Single copies may be made for research purposes. Researchers are responsible for determining any copyright questions. It is not necessary to seek our permission as the owner of the physical work to publish or otherwise use public domain materials that we have made available for use, unless Johns Hopkins University holds the copyright. If you are the copyright owner of this content and wish to contact us regarding our choice to provide access to this material online, please visit our takedown policy at https://www.library.jhu.edu/policy/digital-collections-statement-use-takedown-policy/.","University of Maryland, College Park",Oral history of Wilbert Locklin,audio,Audio,Original File,audio/mpeg,,,/var/www/html/drupal/web/modules/contrib/jhu_ingest_csv/data/binaries/ms404_locklin_wilbert_12-23-1999_access.mp3
24,,Oral Histories Collection,eb41771f-0990-4441-be1c-2cbb57ab71de,2019-01-16T18:57:41Z,2019-01-16T18:57:41Z,2/23/04,MS.0404,http://jhir.library.jhu.edu/handle/1774.2/59943,"William C. Richardson was president of Johns Hopkins University and professor of health policy and management from 1990-1995. He holds an MBA and PhD in business from the University of Chicago, where he specialized in health care delivery. He also served as graduate dean at the University of Washington and as provost at Pennsylvania State University before being recruited to Johns Hopkins University. Following his presidency, Richardson became the head of the W.K. Kellogg Foundation. In this oral history, Richardson discusses his tenure as president, including the state of the university’s finances and departments at the time of his arrival and throughout his time at the institution. He touches on his first impressions of the university and the strategic decisions he made during his tenure as the university’s president. The interview took place over two sessions, both of which are available to access. This oral history is a part of the Mame Warren oral histories series.",en_US,Johns Hopkins University Sheridan Libraries,Access the finding aid for the Johns Hopkins University oral history collection at http://aspace.library.jhu.edu/repositories/3/resources/400.,"Single copies may be made for research purposes. Researchers are responsible for determining any copyright questions. It is not necessary to seek our permission as the owner of the physical work to publish or otherwise use public domain materials that we have made available for use, unless Johns Hopkins University holds the copyright. If you are the copyright owner of this content and wish to contact us regarding our choice to provide access to this material online, please visit our takedown policy at https://www.library.jhu.edu/policy/digital-collections-statement-use-takedown-policy/.",,Oral history of William C. Richardson,audio,Audio,Original File,audio/mpeg,,,/var/www/html/drupal/web/modules/contrib/jhu_ingest_csv/data/binaries/ms404_richardson_william_01-12-2004_access.mp3
